Song,Artist,Genre,Album,Rating,Review,Release Date
Let Her Go,Drake,Lo-Fi,Greatest Songs,4.6,Fantastic melody and vocals.,2017-04-13
7 Rings,Sam Smith,Classical,Golden Era,3.4,A great beat with meaningful lyrics.,2011-03-24
Peaches,Nirvana,Blues,Greatest Songs,4.1,A must-listen for all music lovers!,2000-04-15
Memories,Katy Perry,Lo-Fi,Platinum Records,4.9,This song never gets old!,2011-09-07
Thunder,Rihanna,Lo-Fi,Greatest Songs,3.4,This song never gets old!,2000-10-10
Happy,Imagine Dragons,Hip-Hop,Best Hits,3.6,This song never gets old!,2010-02-12
Havana,Eminem,Folk,Greatest Songs,3.6,An absolute banger!,2008-09-01
Senorita,Eminem,Metal,Top Chart,4.8,Timeless classic!,2019-05-02
Closer,The Weeknd,Folk,Essential Collection,4.6,Timeless classic!,2020-05-21
Shape of You,Michael Jackson,Classical,Greatest Songs,4.4,Timeless classic!,2015-07-02
Love Yourself,Imagine Dragons,Lo-Fi,Greatest Songs,3.4,Super catchy and emotional.,2022-12-09
Counting Stars,Camila Cabello,Lo-Fi,Platinum Records,3.3,This song never gets old!,2008-11-02
Faded,Bruno Mars,Pop,Best Hits,3.9,A great beat with meaningful lyrics.,2018-01-28
Shape of You,Adele,Country,Unplugged,3.9,Super catchy and emotional.,2022-08-20
Shake It Off,Dua Lipa,Hip-Hop,Greatest Songs,4.3,A must-listen for all music lovers!,2020-08-16
Despacito,Camila Cabello,Folk,Golden Era,3.8,Timeless classic!,2005-08-24
Thunder,The Beatles,Disco,Unplugged,4.4,Super catchy and emotional.,2020-09-26
Despacito,The Beatles,Country,Top Chart,3.3,This song never gets old!,2003-01-12
Shake It Off,Maroon 5,Trap,Essential Collection,4.5,A true chart-topper!,2000-10-23
Thunder,Ed Sheeran,Jazz,Unplugged,3.0,A must-listen for all music lovers!,2004-12-24
Rolling in the Deep,Justin Bieber,Pop,Essential Collection,3.2,Timeless classic!,2005-03-03
Stay,The Weeknd,Pop,Best Hits,3.8,Timeless classic!,2013-02-02
Sorry,Billie Eilish,Hip-Hop,Greatest Songs,3.2,An absolute banger!,2014-11-23
Rolling in the Deep,The Chainsmokers,Lo-Fi,Golden Era,3.0,Timeless classic!,2001-06-04
Love Yourself,Michael Jackson,R&B,Platinum Records,4.7,Fantastic melody and vocals.,2017-05-28
Blank Space,Rihanna,Trap,Greatest Songs,4.9,A true chart-topper!,2006-11-20
Happier,Taylor Swift,Jazz,Greatest Songs,3.3,Super catchy and emotional.,2023-01-11
Can't Stop the Feeling,Taylor Swift,Trap,Greatest Songs,4.5,This song never gets old!,2021-06-23
Sorry,Michael Jackson,Rock,Greatest Songs,3.5,This song never gets old!,2005-10-24
Happy,Eminem,Disco,Platinum Records,4.9,An absolute banger!,2011-09-01
Stay,Katy Perry,Electronic,Greatest Songs,4.2,Super catchy and emotional.,2021-07-14
Rockstar,Camila Cabello,Reggae,Greatest Songs,4.6,A true chart-topper!,2021-11-02
7 Rings,Sia,Classical,Unplugged,3.0,Fantastic melody and vocals.,2002-04-27
Can't Stop the Feeling,Katy Perry,Punk,Essential Collection,4.6,A great beat with meaningful lyrics.,2024-09-05
Billie Jean,One Direction,Lo-Fi,Unplugged,4.1,A true chart-topper!,2023-05-03
What Makes You Beautiful,Dua Lipa,Folk,Platinum Records,4.6,A great beat with meaningful lyrics.,2005-08-02
Radioactive,Ed Sheeran,Grunge,Unplugged,4.7,Fantastic melody and vocals.,2008-10-07
Hello,Eminem,Blues,Top Chart,3.2,A great beat with meaningful lyrics.,2022-09-14
Memories,Maroon 5,Rock,Top Chart,3.3,This song never gets old!,2005-11-24
Thinking Out Loud,Eminem,Soul,Golden Era,4.5,Fantastic melody and vocals.,2000-05-09
Sorry,Shawn Mendes,Soul,Best Hits,4.8,This song never gets old!,2017-06-04
Cheap Thrills,Camila Cabello,Rock,Golden Era,4.6,This song never gets old!,2010-08-19
Levitating,Katy Perry,Funk,Best Hits,3.6,Fantastic melody and vocals.,2022-02-19
Dance Monkey,Sia,Trap,Best Hits,4.0,A masterpiece with incredible lyrics!,2014-02-04
Smells Like Teen Spirit,John Legend,Classical,Best Hits,3.5,A true chart-topper!,2002-03-24
Montero,Lady Gaga,Disco,Golden Era,4.1,A masterpiece with incredible lyrics!,2002-03-11
Levitating,Sam Smith,Reggae,Greatest Songs,3.5,This song never gets old!,2018-11-01
Payphone,The Beatles,Funk,Essential Collection,4.1,An absolute banger!,2024-03-26
Happier,Michael Jackson,Trap,Top Chart,3.0,Super catchy and emotional.,2000-04-21
Believer,Eminem,House,Greatest Songs,3.1,Timeless classic!,2011-08-03
Stressed Out,Bruno Mars,Rock,Best Hits,4.1,A must-listen for all music lovers!,2023-04-10
Bad Guy,Rihanna,Rock,Essential Collection,3.2,A true chart-topper!,2021-11-28
Radioactive,Ed Sheeran,Punk,Golden Era,4.8,A great beat with meaningful lyrics.,2006-12-25
Thunder,Shawn Mendes,Funk,Top Chart,3.8,Super catchy and emotional.,2023-03-10
See You Again,The Weeknd,Lo-Fi,Unplugged,3.0,A true chart-topper!,2001-07-23
Stay,Taylor Swift,Country,Golden Era,3.4,Timeless classic!,2009-03-09
Sunflower,Camila Cabello,Funk,Platinum Records,3.5,A masterpiece with incredible lyrics!,2004-10-11
What Makes You Beautiful,Justin Bieber,Reggae,Essential Collection,3.8,This song never gets old!,2013-04-27
We Don't Talk Anymore,One Direction,Hip-Hop,Greatest Songs,3.7,Super catchy and emotional.,2006-05-07
"Thank U, Next",Queen,Disco,Best Hits,3.6,This song never gets old!,2005-05-09
Hotline Bling,Post Malone,Trap,Golden Era,4.8,A masterpiece with incredible lyrics!,2022-08-09
Taki Taki,Sam Smith,Rock,Best Hits,4.4,Fantastic melody and vocals.,2002-08-12
Levitating,The Chainsmokers,Soul,Essential Collection,4.4,A true chart-topper!,2018-06-12
Faded,Taylor Swift,Blues,Essential Collection,4.4,Fantastic melody and vocals.,2024-11-17
Rolling in the Deep,Sam Smith,Disco,Top Chart,4.8,A masterpiece with incredible lyrics!,2014-11-22
Faded,Eminem,House,Unplugged,4.0,An absolute banger!,2005-01-27
Can't Stop the Feeling,Billie Eilish,Soul,Platinum Records,5.0,A masterpiece with incredible lyrics!,2018-07-05
Closer,Eminem,Classical,Platinum Records,3.4,Timeless classic!,2017-10-07
Smells Like Teen Spirit,Sia,Reggae,Golden Era,4.9,An absolute banger!,2022-07-12
Thunder,The Chainsmokers,Jazz,Unplugged,3.6,A great beat with meaningful lyrics.,2020-11-26
Stay,Coldplay,Jazz,Golden Era,3.2,An absolute banger!,2009-04-11
Waka Waka,Imagine Dragons,Jazz,Unplugged,3.7,Timeless classic!,2022-09-18
Counting Stars,Rihanna,R&B,Greatest Songs,3.7,Fantastic melody and vocals.,2023-05-03
Memories,Taylor Swift,Country,Unplugged,4.8,A great beat with meaningful lyrics.,2016-04-09
Happier,The Weeknd,Jazz,Top Chart,3.2,A masterpiece with incredible lyrics!,2006-08-09
Sugar,Drake,Punk,Essential Collection,3.1,An absolute banger!,2001-02-17
Dance Monkey,Dua Lipa,Folk,Greatest Songs,3.3,A true chart-topper!,2021-11-06
Smells Like Teen Spirit,Katy Perry,Lo-Fi,Essential Collection,3.9,A masterpiece with incredible lyrics!,2015-03-15
Chandelier,Adele,Country,Essential Collection,3.7,A must-listen for all music lovers!,2018-06-12
Industry Baby,Eminem,Trap,Top Chart,3.4,A true chart-topper!,2018-07-22
Radioactive,Coldplay,Trap,Best Hits,3.9,Super catchy and emotional.,2018-01-11
Happy,Imagine Dragons,Country,Platinum Records,4.8,A true chart-topper!,2022-02-21
Stay,Bruno Mars,Lo-Fi,Best Hits,4.4,Fantastic melody and vocals.,2011-01-06
Radioactive,Shawn Mendes,Funk,Essential Collection,4.2,Super catchy and emotional.,2013-08-11
Memories,Bruno Mars,Classical,Unplugged,3.6,A must-listen for all music lovers!,2010-11-04
7 Rings,Camila Cabello,Country,Platinum Records,4.8,Super catchy and emotional.,2005-06-10
Payphone,John Legend,Grunge,Golden Era,3.5,Timeless classic!,2005-08-18
Shake It Off,Lady Gaga,Pop,Top Chart,4.0,Timeless classic!,2005-01-15
Thinking Out Loud,Justin Bieber,Folk,Unplugged,3.7,A masterpiece with incredible lyrics!,2019-08-19
Senorita,John Legend,Soul,Golden Era,3.5,Fantastic melody and vocals.,2018-12-14
See You Again,Sia,Punk,Unplugged,4.8,A must-listen for all music lovers!,2023-07-16
Stressed Out,Michael Jackson,Blues,Top Chart,4.6,An absolute banger!,2007-05-24
What Makes You Beautiful,The Beatles,Hip-Hop,Platinum Records,4.6,An absolute banger!,2011-10-11
Happy,Rihanna,Blues,Greatest Songs,4.7,A masterpiece with incredible lyrics!,2015-11-13
Let Her Go,Lady Gaga,Blues,Platinum Records,5.0,Super catchy and emotional.,2009-01-08
7 Rings,Imagine Dragons,Folk,Top Chart,4.6,An absolute banger!,2024-09-04
Rockstar,Nirvana,Lo-Fi,Essential Collection,3.3,A true chart-topper!,2013-07-25
Roar,Sam Smith,Jazz,Golden Era,3.3,An absolute banger!,2008-10-13
Hotel California,Dua Lipa,Blues,Top Chart,3.9,A must-listen for all music lovers!,2018-01-06
Bad Habits,Katy Perry,Punk,Greatest Songs,4.6,A must-listen for all music lovers!,2016-03-10
Shape of You,Rihanna,Country,Greatest Songs,5.0,An absolute banger!,2019-12-17
Cheap Thrills,Maroon 5,Metal,Unplugged,4.6,Fantastic melody and vocals.,2006-10-25
Taki Taki,Taylor Swift,Jazz,Unplugged,3.2,A masterpiece with incredible lyrics!,2004-03-22
Waka Waka,The Beatles,Metal,Unplugged,3.9,A true chart-topper!,2010-01-03
Peaches,Lady Gaga,Grunge,Greatest Songs,4.5,Fantastic melody and vocals.,2009-03-26
Hotel California,The Chainsmokers,Hip-Hop,Best Hits,3.3,This song never gets old!,2011-08-13
Thunder,Katy Perry,Reggae,Essential Collection,3.6,A masterpiece with incredible lyrics!,2005-08-01
Sorry,Coldplay,Hip-Hop,Golden Era,3.3,An absolute banger!,2021-03-07
Happier,BTS,R&B,Golden Era,4.5,Timeless classic!,2005-05-10
7 Rings,Eminem,Reggae,Essential Collection,3.7,This song never gets old!,2002-03-08
"Thank U, Next",BTS,Hip-Hop,Greatest Songs,4.0,Fantastic melody and vocals.,2006-07-03
Industry Baby,Michael Jackson,House,Best Hits,4.0,Super catchy and emotional.,2023-04-05
We Don't Talk Anymore,Drake,Pop,Golden Era,4.9,A must-listen for all music lovers!,2021-09-28
Shallow,Sia,Rock,Unplugged,4.2,A true chart-topper!,2024-06-01
Let Her Go,Adele,Funk,Greatest Songs,4.3,Timeless classic!,2015-03-12
Closer,Dua Lipa,Folk,Essential Collection,3.3,Fantastic melody and vocals.,2003-08-18
No Tears Left to Cry,Rihanna,Jazz,Platinum Records,4.9,An absolute banger!,2021-07-23
Cheap Thrills,Katy Perry,Trap,Greatest Songs,4.8,This song never gets old!,2006-08-22
Payphone,Queen,Reggae,Unplugged,3.8,Super catchy and emotional.,2012-08-23
Stay,Lady Gaga,Soul,Top Chart,4.1,A masterpiece with incredible lyrics!,2007-02-13
What Makes You Beautiful,Eminem,Hip-Hop,Platinum Records,4.1,Super catchy and emotional.,2004-06-25
Levitating,Nirvana,Jazz,Golden Era,4.0,Super catchy and emotional.,2004-07-25
Without Me,Drake,Jazz,Greatest Songs,4.1,A must-listen for all music lovers!,2010-05-27
God's Plan,Adele,Funk,Platinum Records,3.5,Super catchy and emotional.,2021-12-28
Memories,Drake,Grunge,Best Hits,3.2,A true chart-topper!,2013-10-13
No Tears Left to Cry,Sia,Blues,Unplugged,4.4,A true chart-topper!,2017-02-12
Thunder,Eminem,Electronic,Golden Era,4.1,A must-listen for all music lovers!,2015-11-24
Savage Love,Billie Eilish,Grunge,Top Chart,4.6,Fantastic melody and vocals.,2018-01-08
Cheap Thrills,BTS,Country,Unplugged,4.6,Fantastic melody and vocals.,2019-03-25
Bad Guy,Taylor Swift,House,Greatest Songs,3.4,Timeless classic!,2007-06-12
Waka Waka,Eminem,Blues,Top Chart,3.2,Timeless classic!,2010-09-27
Thinking Out Loud,Dua Lipa,Grunge,Unplugged,3.7,An absolute banger!,2000-10-20
Hello,Bruno Mars,Jazz,Greatest Songs,3.4,Fantastic melody and vocals.,2024-07-03
Let Her Go,Adele,Hip-Hop,Unplugged,4.7,A great beat with meaningful lyrics.,2020-04-05
Old Town Road,One Direction,Grunge,Top Chart,3.7,Timeless classic!,2015-04-02
Perfect,Ed Sheeran,Electronic,Greatest Songs,3.9,This song never gets old!,2006-05-14
Old Town Road,The Weeknd,Pop,Greatest Songs,3.3,This song never gets old!,2002-06-13
We Don't Talk Anymore,Coldplay,Hip-Hop,Best Hits,3.2,An absolute banger!,2020-03-14
Blank Space,Sam Smith,Rock,Unplugged,4.8,Fantastic melody and vocals.,2004-05-10
Rockstar,Post Malone,Metal,Unplugged,3.7,This song never gets old!,2012-11-27
Radioactive,Coldplay,Pop,Top Chart,4.7,This song never gets old!,2015-01-09
Levitating,Lady Gaga,Country,Unplugged,4.6,Super catchy and emotional.,2013-03-06
Memories,Drake,Jazz,Platinum Records,3.3,A masterpiece with incredible lyrics!,2012-11-17
